Latitude,Longitude,Station Code,Depth,Parameter Code,Analysis Method Code,Value Flags,Data Quality,Dataset_Source,temperature_avg,rainfall_mm,humidity_pct,pressure_hPa,drought_index,extreme_precip_days,urban_pct,forest_pct,agriculture_pct,water_pct,wetland_pct,grassland_pct,barren_pct,frag_index,soil_perm,ind_count,hg_impact,pb_impact,ind_risk_score,param_category,country_code,time_season,value_with_unit,sampling_method,is_referenced_method,water_body_type,analytical_program,pollution_risk,testing_laboratory,validated_results,sampling_weather,regulatory_framework,land_use_impact
50.9028,,CAN00062,,OH,VMV_351,,Fair,,,107.99129473000228,95.0,1005.214660335138,1.7946967669398748,,5.951478056041188,31.263523712328887,24.569630134447884,9.797753117253022,7.869977235927507,,4.582338201560415,0.6892086305050552,0.5800855208802735,1.0,0.175103330241986,0.2609521354834254,11.968312941077007,Other,,2016-07-06 12:00:00 - Summer,0.0 mg/l,,False,Wetland,Provincial Monitoring,Medium,National Water Research Center,False,Snowy,,Agricultural Dominant
,,,0.3,,,,Fair,carbon,,76.76524153125955,85.98144391030878,1010.7114723399588,1.895847257221016,1.0,7.383619535832402,27.77692124164256,27.30787666055856,,10.232954371449376,14.96631335643136,,,0.5968326585209647,0.0,0.0,,0.0,,CHE,,,Composite Sample,True,,,Low,,True,,International Water Quality Standards,Agricultural Dominant
46.27117,11.42484,ITA00304,0.0,,APAT3200_2003,<,Fair,mercury,-5.7022007400239545,,85.39848739426402,,1.5267756387899842,0.0,9.247550830124286,28.228460105346432,26.98504611090498,4.872351608427264,10.266351108987854,14.167928664938245,6.232311571270936,0.7424769351500345,,,0.2304205474057777,0.1457798358457092,2.603596346441887,Heavy Metal,ITA,2011-07-05 00:00:00 - Summer,0.1 µg/l,Grab Sample,,,,,International Water Quality Lab,True,,International Water Quality Standards,
49.4586,-120.504,CAN00328,0.3,Cs-Tot,VMV_3528,,Fair,caesium,6.2506976175962805,101.64413251619474,82.47699498525344,,-1.132845059843345,2.0,5.333536080363196,26.07000157290168,26.36219569339697,,5.62095125599594,16.146107548963556,7.907507346738122,0.6722764829387422,0.5731198955553342,2.0,0.2910639440432023,,2.2564599520858137,,,2011-05-10 10:05:00 - Spring,,Composite Sample,False,Reservoir,,,Canadian Analytical Services,True,Rainy,Fisheries Act,Agricultural Dominant
49.5279,-115.5492,CAN00204,0.3,Li-Tot,VMV_1919,,Good,lithium,-9.855315987794537,,80.18865812659581,,1.6382080877550456,0.0,6.655139924790663,,24.67714185011796,10.276568146600717,7.910547928252151,,6.495076414009522,,0.5738311416540992,1.0,0.7368803158741652,1.816768302351164,3.178036655399543,Other,,2005-08-02 10:00:00 - Summer,1.7 µg/l,Manual Sample,False,River,,Medium,National Water Research Center,True,,Canadian Environmental Protection Act,
49.0897,,,0.3,F-Dis,VMV_1923,,Fair,,0.913689681417104,113.65015594194458,92.08303352634684,1008.081668223293,-0.2768314393417102,,,27.48433942114921,26.138245210098063,,7.486418279110857,12.83759731715894,5.635924647532254,0.7028849366923812,,1.0,,0.0670402788472872,1.489200442370536,,CAN,2007-06-06 12:00:00 - Summer,0.14 mg/l,Manual Sample,False,,Arctic Waters Program,,National Water Research Center,,Rainy,Provincial Water Regulations,Urban Dominant
19.652031,-105.182333,MEX03180,,O2-Dis-Sat,,,Unknown,dissolved_gas,5.6645941525835415,,68.119986587233,1013.193961523049,,0.0,11.413766649307831,36.21826441229789,,8.910106692376132,7.90553725543568,10.798825804987189,5.839534749446326,0.7365786481731307,0.566507873710819,0.0,0.0,,0.0,Other,MEX,,,Grab Sample,False,,,Low,International Water Quality Lab,True,Cloudy,International Water Quality Standards,Agricultural Dominant
50.8011,,,0.3,,,,Fair,molybdenum,7.946450643996621,,95.0,1005.414890450941,,2.0,3.418164622436292,30.6313056741272,28.140920435301062,4.664629338512954,13.22697562752072,13.961339608857337,,0.6621937480468276,0.6083344190110235,0.0,0.0,,0.0,Other,BEL,2018-04-23 12:00:00 - Spring,0.0115 mg/l,Manual Sample,False,Estuary,International Water Assessment,Low,International Water Quality Lab,False,Rainy,International Water Quality Standards,Forest Dominant
61.0989,,,0.3,Cr-Tot,VMV_3528,,Fair,,-4.2852961953441415,110.82456666596757,92.18288643800734,1003.8934297718232,-1.1676758698407577,0.0,2.839884195830786,32.53957464407809,26.72863845937428,9.167201570492605,,18.22696862857205,,0.6472682841816363,0.6173780952728983,0.0,0.0,0.0,0.0,,CAN,2010-06-17 16:46:00 - Summer,,Composite Sample,,Wetland,,,Environment Canada Lab,,Cloudy,Canadian Environmental Protection Act,Forest Dominant
16.73916667,,IND02318,,Cl-Dis,,,Unknown,,,51.86024592080103,66.48298261213006,1010.3803840749111,0.4299908410141291,4.0,8.107365741205667,38.16118501998574,24.952110649852223,2.758203714729136,9.114620961483295,12.51676257850663,4.389751334237307,0.7244222826961597,0.617578472742337,2.0,0.1025803840418486,0.2047279253977549,3.668708599133688,Common Ion,,1982-08-16 00:00:00 - Summer,,Grab Sample,True,Lake,International Water Assessment,,International Water Quality Lab,,Cloudy,International Water Quality Standards,Urban Dominant
